track_id,track_name,artists,track_genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
3M4yuiVRtLLiVAKWEWDDK0,No Céu Não Entra Pecado,J Neto,gospel,41,0.377,0.313,0.0336,0.865,0.0,0.0971,0.206,-7.659,114.785
30vwZnErkvSYrhEvfAfJnp,Millionen Schätze,Stereoact,party,26,0.715,0.763,0.0364,0.283,4.87e-06,0.14,0.579,-2.93,119.949
1eOW35r7fBIrpzRMBbnGXQ,Un Idiota,Grupo Ternura,folk,43,0.67,0.662,0.112,0.256,0.00102,0.088,0.953,-4.94,158.51
3RZnAryVznQwgFCGeqjeAH,Lobby,Anitta;Missy Elliott,pagode,0,0.759,0.711,0.0384,0.0477,1.19e-06,0.143,0.436,-5.199,111.902
3DiRdaZtPrVdb4U2RIuRWm,One Way Or Another,Blondie,power-pop,54,0.447,0.863,0.0585,0.00365,0.0138,0.0448,0.835,-6.303,162.311
5YkKpbHgr62AmlkLh2pwDc,O Anjo Mais Velho,O Teatro Mágico,brazil,44,0.628,0.816,0.0396,0.437,0.000209,0.189,0.625,-5.393,113.068
4sO7A5yF6SfqiHeINS61DE,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs;A-Trak,indie,0,0.738,0.607,0.0845,0.00746,0.324,0.0699,0.78,-3.933,131.982
7AlLcDIuTrBif79HvTRz0S,Não Troco por Nada,Caninana;Mano Walter,forro,37,0.639,0.936,0.0608,0.539,0.00124,0.159,0.906,-6.193,175.07
4BuKcv3m61D3feQaJVW4oF,Pukaar,Ritviz,edm,47,0.534,0.476,0.0325,0.0337,0.0,0.629,0.593,-8.268,106.891
5mEqD00bdFcsiVd0MfvEeF,Dream lantern,RADWIMPS,j-pop,63,0.206,0.871,0.419,0.0316,6.55e-05,0.0596,0.125,-5.751,175.6
1udKn1oNKYQSQ9OmiIWCMu,Do You Believe in Magic?,The Lovin' Spoonful,rock-n-roll,70,0.553,0.738,0.0457,0.213,0.0,0.339,0.759,-7.963,138.602
5IgElbSREzVyqgf1OCuKJd,會呼吸的痛,Fish Leong,mandopop,55,0.67,0.518,0.0278,0.538,0.0,0.111,0.195,-7.53,112.006
5tiZBnx5IvETA0Pj3gELjn,me & ur ghost,blackbear,electro,67,0.742,0.679,0.0259,0.0488,0.0,0.0754,0.856,-4.594,100.041
